小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,,,
百家湖西花园巴黎城,江宁,435,22382元/平米,6室3厅1厨3卫,高楼层 (共6层),194.36㎡,跃层,174.64㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/4,商品房,2010/9/9,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
东方龙湖湾南湖苑,江宁,341,28955元/平米,3室2厅1厨1卫,中楼层 (共11层),117.77㎡,平层,98.47㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2018/1/9,商品房,2015/5/26,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
太平门东街,玄武,130,32820元/平米,1室1厅1厨1卫,中楼层 (共7层),39.61㎡,暂无数据,34.09㎡,板楼,南,钢混结构,简装,一梯三户,暂无数据,70年,2018/1/29,房改房,2009/6/29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
康福村,建邺,189,33293元/平米,3室1厅1厨1卫,中楼层 (共5层),56.77㎡,平层,47.9㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/12,商品房,2016/5/17,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
金王府,江宁,350,33481元/平米,2室2厅1厨1卫,低楼层 (共16层),104.54㎡,暂无数据,暂无数据,板楼,南,钢混结构,其他,一梯四户,有,70年,2018/3/20,商品房,2017/4/10,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
赛世香樟园,栖霞,405,32927元/平米,3室2厅1厨1卫,低楼层 (共18层),123㎡,平层,99.68㎡,板楼,南,钢混结构,其他,两梯三户,有,70年,2018/3/7,商品房,2011/1/25,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
丹佛小镇,江宁,240,27021元/平米,3室2厅1厨1卫,低楼层 (共11层),88.82㎡,平层,74.11㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2017/10/15,商品房,2015/11/13,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
南湖东路40-46号,建邺,189,25909元/平米,2室1厅1厨1卫,高楼层 (共7层),72.95㎡,平层,63.92㎡,板楼,东 西,砖混结构,其他,一梯两户,暂无数据,70年,2018/3/9,房改房,2009/7/27,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
朗诗国际街区北园,建邺,330,47116元/平米,2室1厅1厨1卫,高楼层 (共18层),70.04㎡,平层,58.56㎡,塔楼,南,钢混结构,精装,两梯三户,有,70年,2018/1/1,商品房,2007/10/19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
紫气钟山,玄武,310,48265元/平米,2室2厅1厨1卫,高楼层 (共6层),64.23㎡,平层,50.9㎡,塔楼,西,钢混结构,精装,两梯十三户,有,70年,2017/3/24,商品房,2013/5/16,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
鸿运嘉园,栖霞,366,25839元/平米,4室2厅1厨2卫,高楼层 (共6层),141.65㎡,平层,126.82㎡,板楼,南 北,钢混结构,毛坯,一梯两户,暂无数据,70年,2016/10/8,商品房,2011/2/16,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
万达江南明珠,秦淮,277,32863元/平米,2室1厅1厨1卫,高楼层 (共5层),84.29㎡,暂无数据,73.72㎡,板楼,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2018/3/4,商品房,2003/9/15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
话园,建邺,165,25397元/平米,2室1厅1厨1卫,高楼层 (共6层),64.97㎡,平层,56.81㎡,板楼,南 西 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/11/2,房改房,2011/9/1,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
诚品城,栖霞,300,29630元/平米,3室2厅1厨1卫,低楼层 (共6层),101.25㎡,平层,88.99㎡,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2017/12/4,商品房,2011/8/25,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
南方花园瑞阳居,江宁,99,24295元/平米,1室1厅1厨1卫,中楼层 (共11层),40.75㎡,平层,31.83㎡,塔楼,东,钢混结构,其他,两梯三十户,有,70年,2017/11/3,商品房,2015/8/18,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
百家湖西花园巴黎城,江宁,328,26937元/平米,3室2厅1厨2卫,低楼层 (共6层),121.77㎡,平层,110.12㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/12/24,商品房,2009/6/24,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
怡景花园,鼓楼,535,84213元/平米,2室1厅1厨1卫,低楼层 (共7层),63.53㎡,平层,暂无数据,板楼,南,砖混结构,其他,一梯三户,有,70年,2017/12/8,动迁安置房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
汉中路,鼓楼,710,68839元/平米,2室2厅1厨1卫,中楼层 (共9层),103.14㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,一梯两户,有,70年,2018/2/25,商品房,2000/2/17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
汉府雅苑,玄武,720,60252元/平米,2室2厅1厨2卫,高楼层 (共12层),119.5㎡,暂无数据,103.45㎡,板楼,南,钢混结构,其他,两梯两户,有,70年,2017/8/9,商品房,2005/5/14,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
世茂滨江新城,鼓楼,630,36533元/平米,3室2厅1厨2卫,低楼层 (共62层),172.45㎡,暂无数据,128.56㎡,板塔结合,南,钢混结构,精装,两梯三户,有,70年,2017/7/13,商品房,2009/10/12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
明月港湾维亚湾,江宁,750,25744元/平米,7室3厅1厨5卫,低楼层 (共3层),291.34㎡,暂无数据,南 北,钢混结构,其他,联排,70年,null,null,null,2018/1/17,商品房,2007/10/2,别墅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
鸿意星城,秦淮,235,29113元/平米,1室1厅1厨1卫,低楼层 (共9层),80.72㎡,平层,66.2㎡,板楼,南 北,砖混结构,其他,一梯两户,有,70年,2018/2/23,商品房,2016/2/15,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
保利紫晶山,栖霞,860,29744元/平米,4室2厅1厨3卫,低楼层 (共6层),289.14㎡,跃层,234.61㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2017/10/22,商品房,2014/3/21,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
顺达佳苑,江宁,225,24372元/平米,3室2厅1厨1卫,中楼层 (共6层),92.32㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/12/2,商品房,2004/2/26,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
营苑西村,玄武,238,31022元/平米,3室2厅1厨1卫,低楼层 (共6层),76.72㎡,跃层,68.17㎡,板塔结合,南,钢混结构,简装,一梯两户,暂无数据,70年,2017/10/7,商品房,2006/4/4,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
瑞鑫兰庭,秦淮,235,41905元/平米,2室1厅1厨2卫,低楼层 (共16层),56.08㎡,复式,暂无数据,板塔结合,东,钢混结构,简装,两梯二十九户,有,70年,2018/2/26,商品房,2007/4/26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
工人新村,鼓楼,182,28630元/平米,2室1厅1厨1卫,高楼层 (共6层),63.57㎡,暂无数据,暂无数据,板楼,南,钢混结构,其他,一梯四户,暂无数据,70年,2017/8/24,房改房,2007/8/8,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
水西门大街,建邺,175,30632元/平米,2室1厅1厨1卫,低楼层 (共6层),57.13㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯三户,暂无数据,70年,2017/9/26,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,,,
宏图上水庭院,雨花台,890,43211元/平米,4室2厅2厨3卫,中楼层 (共11层),205.97㎡,暂无数据,177.53㎡,板塔结合,南,钢混结构,精装,一梯两户,有,70年,2018/2/23,商品房,2015/5/19,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
丹佛小镇,江宁,246,27734元/平米,3室2厅1厨1卫,高楼层 (共11层),88.7㎡,暂无数据,74.01㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2018/3/13,商品房,2011/1/10,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
南湾营宁康苑,栖霞,173,20996元/平米,3室1厅1厨1卫,低楼层 (共11层),82.4㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯四户,有,70年,2017/10/1,商品房,2009/6/5,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
明发滨江新城三期,浦口,278,19996元/平米,4室2厅1厨1卫,高楼层 (共34层),139.03㎡,暂无数据,110.98㎡,塔楼,南 北,钢混结构,简装,两梯六户,有,70年,2017/6/3,商品房,2016/1/12,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
孝陵卫街49号,玄武,310,32639元/平米,2室2厅1厨1卫,高楼层 (共7层),94.98㎡,暂无数据,85.22㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/7/28,房改房,2009/12/7,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
龙凤花园腾龙里,鼓楼,539,44992元/平米,3室2厅1厨2卫,中楼层 (共6层),119.8㎡,平层,106.81㎡,板楼,南 西 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/11,商品房,2001/12/21,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
江岸水城,浦口,192,19436元/平米,3室2厅1厨1卫,低楼层 (共11层),98.79㎡,暂无数据,84.57㎡,板楼,南 北,钢混结构,简装,一梯两户,有,70年,2017/5/23,商品房,2010/2/5,普通住宅,满五年,非共有,"
                                有抵押 15万元 客户偿还
                              ",已上传房本照片,,,
凤悦天晴花园,浦口,220,23695元/平米,2室1厅1厨1卫,低楼层 (共6层),92.85㎡,平层,88㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/10/17,商品房,2017/10/17,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
凤凰西街,鼓楼,225,39090元/平米,2室1厅1厨1卫,低楼层 (共6层),57.56㎡,暂无数据,41.26㎡,板楼,南,钢混结构,其他,一梯四户,暂无数据,70年,2017/6/27,房改房,2016/12/8,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
来凤里,秦淮,233,27028元/平米,3室1厅1厨1卫,中楼层 (共8层),86.21㎡,平层,76.94㎡,板楼,南 北,钢结构,其他,一梯两户,暂无数据,70年,2017/10/17,房改房,2000/2/6,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
应天花园,雨花台,220,29086元/平米,2室1厅1厨1卫,中楼层 (共7层),75.64㎡,平层,66.24㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/12/4,商品房,2012/3/2,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
滨江奥城听雨苑,建邺,500,43167元/平米,3室1厅1厨1卫,低楼层 (共10层),115.83㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2017/3/14,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,,,
依云溪谷一期,栖霞,1400,41958元/平米,5室2厅1厨5卫,低楼层 (共3层),333.67㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2017/2/11,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 客户偿还
                              ",未上传房本照片,,,
南大和园,栖霞,448,32464元/平米,3室2厅1厨2卫,中楼层 (共6层),138㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2017/5/2,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,,,
碧水湾花园,江宁,198,24475元/平米,2室1厅1厨1卫,高楼层 (共6层),80.9㎡,平层,暂无数据,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2017/8/3,商品房,2013/9/11,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
保利罗兰香谷,栖霞,460,32912元/平米,3室2厅1厨2卫,低楼层 (共18层),139.77㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,其他,两梯两户,有,70年,2017/4/4,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                暂无数据
                              ",未上传房本照片,,,
武定新村,秦淮,200,30026元/平米,2室1厅1厨1卫,中楼层 (共6层),66.61㎡,平层,57.41㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/2/24,房改房,2014/2/12,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
爱涛丽舍,江宁,2980,59272元/平米,8室3厅1厨5卫,低楼层 (共1层),502.77㎡,502.77㎡,东 南 西 北,未知结构,其他,独栋,70年,null,null,null,2017/5/25,商品房,2011/2/16,别墅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
天润城第十二街区,浦口,209,23750元/平米,3室2厅1厨1卫,中楼层 (共11层),88㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯三户,有,70年,2017/8/27,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 40万元 北京银行 客户偿还
                              ",未上传房本照片,,,
云谷山庄,鼓楼,270,31653元/平米,3室1厅1厨1卫,低楼层 (共10层),85.3㎡,平层,72.08㎡,板塔结合,南,钢混结构,其他,一梯三户,有,70年,2017/12/17,商品房,2012/8/21,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
钟山晶典苑,栖霞,388,31874元/平米,3室2厅1厨1卫,中楼层 (共16层),121.73㎡,平层,93.48㎡,板塔结合,南 北,钢混结构,精装,两梯两户,有,70年,2017/12/14,商品房,2010/5/13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
托乐嘉贵邻居,江宁,230,30034元/平米,2室1厅1厨1卫,中楼层 (共27层),76.58㎡,暂无数据,53.6㎡,板楼,南,钢混结构,精装,两梯十四户,有,70年,2017/12/28,商品房,2014/6/23,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
唱经楼西街,玄武,210,31756元/平米,2室1厅1厨1卫,中楼层 (共28层),66.13㎡,暂无数据,暂无数据,塔楼,东 南,钢混结构,精装,三梯九户,有,70年,2017/8/28,动迁安置房,2018/2/16,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,
大华锦绣华城香榭美颂,浦口,240,26930元/平米,2室2厅1厨1卫,中楼层 (共8层),89.12㎡,平层,72.62㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/2/25,商品房,2015/11/30,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
百家湖西花园伦敦城,江宁,310,21983元/平米,4室2厅1厨2卫,高楼层 (共6层),141.02㎡,平层,127.75㎡,板塔结合,南 北,钢混结构,毛坯,一梯两户,暂无数据,70年,2017/11/25,商品房,2010/10/27,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
左邻右里,江宁,320,32607元/平米,2室2厅1厨1卫,中楼层 (共11层),98.14㎡,暂无数据,81.4㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2017/9/6,商品房,2014/4/3,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
模范马路小区,鼓楼,195,34897元/平米,2室1厅1厨1卫,高楼层 (共7层),55.88㎡,平层,49.42㎡,板塔结合,西 北,钢混结构,其他,一梯四户,暂无数据,70年,2018/3/11,房改房,2013/8/13,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
市政天元城,江宁,156,28180元/平米,1室1厅1厨1卫,高楼层 (共13层),55.36㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,一梯六户,有,70年,2017/5/27,商品房,2014/1/2,普通住宅,满两年,共有,"
                                有抵押 50万元 客户偿还
                              ",已上传房本照片,,,
新城市广场,鼓楼,225,46527元/平米,3室1厅1厨2卫,高楼层 (共18层),48.36㎡,跃层,38㎡,塔楼,北,钢混结构,其他,两梯十九户,有,70年,2017/11/5,商品房,2008/5/20,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
腾飞园,鼓楼,212,34596元/平米,2室1厅1厨1卫,高楼层 (共7层),61.28㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯四户,有,70年,2018/1/16,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 70万元 客户偿还
                              ",未上传房本照片,,,
华利国际,玄武,280,35000元/平米,2室1厅1厨1卫,高楼层 (共47层),80㎡,暂无数据,63.89㎡,板楼,南,钢混结构,其他,一梯十七户,暂无数据,70年,2017/7/19,房改房,2010/4/28,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
中海凤凰熙岸一期,鼓楼,930,65378元/平米,4室2厅1厨2卫,高楼层 (共30层),142.25㎡,暂无数据,110.63㎡,板楼,南 北,钢混结构,其他,两梯四户,有,70年,2018/1/8,商品房,2015/10/22,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
易盛家园,鼓楼,146,24538元/平米,2室1厅1厨1卫,低楼层 (共6层),59.5㎡,平层,48.6㎡,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/12/4,商品房,2011/6/29,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
风光里小区,秦淮,132,33208元/平米,1室1厅1厨1卫,低楼层 (共7层),39.75㎡,平层,32.39㎡,板塔结合,南 北,钢混结构,其他,一梯两户,有,70年,2018/3/12,房改房,2015/9/25,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
南大和园,栖霞,390,42853元/平米,3室2厅1厨1卫,高楼层 (共5层),91.01㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,暂无数据,70年,2017/4/11,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,,,
后标营50号,秦淮,208,33022元/平米,2室2厅1厨1卫,高楼层 (共7层),62.99㎡,平层,55.19㎡,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/2/25,商品房,2014/1/8,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
东郊小镇第四街区,江宁,168,20925元/平米,2室1厅1厨1卫,中楼层 (共6层),80.29㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/13,商品房,2011/3/24,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
诚品城,栖霞,270,27317元/平米,3室2厅1厨1卫,低楼层 (共6层),98.84㎡,平层,86.88㎡,板楼,南 北,钢混结构,毛坯,一梯两户,暂无数据,70年,2016/10/6,商品房,2010/7/30,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
南塑新村,栖霞,135,23747元/平米,2室1厅1厨1卫,高楼层 (共6层),56.85㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯两户,暂无数据,70年,2018/1/18,房改房,2009/3/4,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
江岸水城,浦口,218,18491元/平米,3室2厅1厨1卫,中楼层 (共11层),117.9㎡,平层,102.38㎡,板楼,南 北,钢混结构,毛坯,一梯两户,有,70年,2017/10/13,商品房,2013/4/3,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,,,
富力城,江宁,295,29113元/平米,3室2厅1厨1卫,高楼层 (共18层),101.33㎡,平层,80.57㎡,板楼,南 北,钢混结构,其他,两梯四户,有,70年,2017/12/4,商品房,2014/5/20,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
东城风景,江宁,175,24259元/平米,2室2厅1厨1卫,中楼层 (共16层),72.14㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯八户,有,70年,2018/3/10,商品房,2014/4/30,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
市政天元城,江宁,190,25334元/平米,2室1厅1厨1卫,高楼层 (共13层),75㎡,平层,暂无数据,板楼,北,钢混结构,其他,两梯六户,有,70年,2018/1/17,商品房,2016/4/6,普通住宅,未满两年,非共有,"
                                有抵押 70万元 客户偿还
                              ",已上传房本照片,,,
雍璟府,玄武,980,35139元/平米,4室2厅1厨2卫,低楼层 (共4层),278.9㎡,255.7㎡,南 北,未知结构,其他,暂无数据,70年,null,null,null,2018/1/9,商品房,2016/4/26,别墅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
梅花山庄丽景苑,秦淮,350,35675元/平米,3室2厅1厨2卫,高楼层 (共6层),98.11㎡,跃层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/9/13,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                暂无数据
                              ",未上传房本照片,,,
翰香苑,江宁,186,20755元/平米,3室1厅1厨1卫,高楼层 (共6层),89.62㎡,暂无数据,78.41㎡,板楼,南,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/3,商品房,2015/3/27,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
东郊小镇第七街区,江宁,110,27364元/平米,2室1厅1厨1卫,高楼层 (共7层),40.2㎡,跃层,32.9㎡,板塔结合,西北,钢混结构,精装,两梯三十三户,有,70年,2017/11/9,商品房,2014/12/2,普通住宅,满两年,非共有,"
                                有抵押 20万元
                              ",已上传房本照片,,,
明发滨江新城三期,浦口,235,20480元/平米,3室2厅1厨1卫,低楼层 (共28层),114.75㎡,暂无数据,暂无数据,板楼,南,钢混结构,其他,两梯四户,有,70年,2018/3/21,商品房,2010/3/16,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
营苑东村,玄武,170,26365元/平米,2室1厅1厨1卫,中楼层 (共7层),64.48㎡,平层,55.54㎡,板楼,南 北,砖混结构,精装,一梯两户,暂无数据,70年,2018/3/4,商品房,2015/9/2,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
菊花新村二村,雨花台,170,26369元/平米,2室1厅1厨1卫,高楼层 (共6层),64.47㎡,平层,56.32㎡,板塔结合,南,钢混结构,其他,一梯四户,暂无数据,70年,2018/3/12,商品房,2013/8/29,普通住宅,满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
秦淮教师公寓,秦淮,165,29714元/平米,2室1厅1厨1卫,高楼层 (共7层),55.53㎡,暂无数据,49.5㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/6/26,房改房,2012/7/12,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
武夷绿洲赏桂苑,江宁,212,27917元/平米,2室2厅1厨1卫,中楼层 (共16层),75.94㎡,暂无数据,暂无数据,板楼,南,钢混结构,其他,两梯七户,有,70年,2017/9/3,商品房,2013/8/8,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
银河湾花园,江宁,316,22949元/平米,3室2厅1厨2卫,中楼层 (共18层),137.7㎡,暂无数据,114.83㎡,板塔结合,南 北,钢混结构,精装,两梯三户,有,70年,2017/3/23,商品房,2010/1/4,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
来凤里,秦淮,145,29000元/平米,2室1厅1厨1卫,中楼层 (共7层),50㎡,平层,暂无数据,板楼,南 北,钢结构,简装,一梯两户,暂无数据,70年,2018/3/14,房改房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                无抵押
                              ",未上传房本照片,,,
左邻右里,江宁,500,30318元/平米,3室2厅1厨2卫,中楼层 (共5层),164.92㎡,暂无数据,149.3㎡,板楼,南,钢混结构,精装,一梯两户,暂无数据,70年,2016/4/30,商品房,2009/4/20,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
碧水湾花园,江宁,258,24090元/平米,3室2厅1厨2卫,中楼层 (共6层),107.1㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,暂无数据,70年,2016/7/2,商品房,2004/10/4,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
杜鹃园,栖霞,174,19996元/平米,3室2厅1厨1卫,中楼层 (共27层),87.02㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,其他,一梯四户,暂无数据,70年,2018/2/23,动迁安置房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
御道街113号,秦淮,330,26541元/平米,4室2厅1厨1卫,高楼层 (共10层),124.34㎡,暂无数据,96.63㎡,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/8/28,商品房,2016/2/23,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
盈家春天,江宁,242,26845元/平米,3室2厅1厨1卫,中楼层 (共18层),90.15㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯八户,有,70年,2017/11/7,商品房,2005/7/22,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
御水湾花园,秦淮,355,37567元/平米,3室2厅1厨1卫,低楼层 (共11层),94.5㎡,暂无数据,79.25㎡,板楼,南 北,钢混结构,简装,一梯两户,有,70年,2017/6/11,商品房,2017/6/11,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,
善水湾花园,雨花台,337,28279元/平米,4室2厅1厨1卫,高楼层 (共17层),119.17㎡,暂无数据,95.55㎡,塔楼,南 北,钢混结构,毛坯,一梯三户,暂无数据,70年,2017/9/14,商品房,2017/9/16,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
佳盛花园,鼓楼,450,32550元/平米,3室2厅1厨2卫,低楼层 (共7层),138.25㎡,平层,124.33㎡,板塔结合,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/2/1,商品房,2018/2/5,普通住宅,未满两年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
汇金九龙商业街,江宁,118,20261元/平米,1室1厅1厨1卫,低楼层 (共18层),58.24㎡,暂无数据,41.2㎡,塔楼,南,钢混结构,其他,两梯十三户,有,70年,2018/2/27,商品房,2015/9/15,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
仙鹤山庄,栖霞,215,27285元/平米,2室2厅1厨1卫,高楼层 (共6层),78.8㎡,暂无数据,70.34㎡,板楼,南,钢混结构,其他,一梯两户,暂无数据,70年,2017/6/23,商品房,2008/12/4,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
东渡国际青年城,江宁,280,29252元/平米,3室1厅1厨1卫,中楼层 (共24层),95.72㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,两梯四户,有,70年,2018/3/5,商品房,2012/12/30,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
