小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,,,
中航樾府,江宁,360,35800元/平米,3室2厅1厨2卫,低楼层 (共18层),100.56㎡,跃层,81.9㎡,板楼,南 北,钢混结构,精装,两梯六户,有,70年,2017/10/6,商品房,2015/8/18,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,,,
泰来苑,浦口,180,20287元/平米,2室2厅1厨1卫,高楼层 (共11层),88.73㎡,平层,88.73㎡,板楼,南 北,钢混结构,其他,一梯三户,有,70年,2018/3/10,商品房,2012/3/17,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
三牌楼大街,鼓楼,316,40519元/平米,2室1厅1厨1卫,低楼层 (共6层),77.99㎡,暂无数据,66.89㎡,板塔结合,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2018/3/18,房改房,2003/10/30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
威尼斯水城第三街区,浦口,216,22928元/平米,2室2厅1厨1卫,高楼层 (共30层),94.21㎡,平层,69.9㎡,板楼,南,钢混结构,精装,两梯三户,有,70年,2017/3/20,商品房,2015/12/21,普通住宅,满两年,非共有,"
                                有抵押 客户偿还
                              ",已上传房本照片,,,
大华锦绣华城临江苑,浦口,195,21029元/平米,3室2厅1厨1卫,低楼层 (共6层),92.73㎡,平层,82.31㎡,板楼,南,钢混结构,其他,一梯两户,暂无数据,70年,2018/3/10,动迁安置房,2009/3/19,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
曹都巷小区,秦淮,196,32831元/平米,2室1厅1厨1卫,中楼层 (共7层),59.7㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2017/8/4,房改房,2013/2/22,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
李府街11号,秦淮,198,28518元/平米,2室1厅1厨1卫,低楼层 (共7层),69.43㎡,平层,暂无数据,板楼,南,砖混结构,其他,一梯三户,暂无数据,70年,2017/9/2,房改房,1998/9/8,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
中山门小区,秦淮,235,32175元/平米,3室1厅1厨1卫,低楼层 (共6层),73.04㎡,平层,62.32㎡,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2018/1/19,房改房,2015/9/18,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
天润城第十二街区,浦口,183,23891元/平米,2室2厅1厨1卫,低楼层 (共18层),76.6㎡,平层,58.77㎡,板塔结合,南 北,钢混结构,精装,两梯四户,有,70年,2018/3/15,商品房,2014/10/9,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
金城丽景南区,浦口,203,24586元/平米,2室2厅1厨1卫,低楼层 (共16层),82.57㎡,暂无数据,64.75㎡,板楼,南,钢混结构,其他,两梯三户,有,70年,2017/9/3,商品房,2014/3/16,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
